true_character,predicted_character,count,true_character_count,confusion_rate,confusion_percentage
0,Q,28,5778,0.004845967462789893,0.4845967462789893
a,A,26,1644,0.015815085158150853,1.5815085158150852
8,B,26,5633,0.004615657731226699,0.46156577312266994
U,V,24,2002,0.011988011988011988,1.1988011988011988
a,Q,23,1644,0.013990267639902677,1.3990267639902676
q,Q,22,505,0.04356435643564356,4.356435643564356
U,v,22,2002,0.01098901098901099,1.098901098901099
0,U,20,5778,0.003461405330564209,0.3461405330564209
i,j,20,427,0.0468384074941452,4.683840749414521
7,Y,20,6139,0.0032578595862518323,0.3257859586251832
e,C,20,4092,0.004887585532746823,0.4887585532746823
a,g,20,1644,0.012165450121654502,1.2165450121654502
O,Q,20,4156,0.004812319538017324,0.4812319538017324
r,T,20,2320,0.008620689655172414,0.8620689655172413
b,B,19,853,0.022274325908558032,2.2274325908558033
b,6,19,853,0.022274325908558032,2.2274325908558033
o,D,18,466,0.03862660944206009,3.862660944206009
h,L,18,1479,0.012170385395537525,1.2170385395537524
2,a,17,5869,0.002896575225762481,0.2896575225762481
a,2,17,1644,0.010340632603406326,1.0340632603406326
r,Y,17,2320,0.007327586206896552,0.7327586206896551
1,L,17,6330,0.0026856240126382305,0.268562401263823
j,i,16,317,0.050473186119873815,5.047318611987381
Y,4,16,798,0.020050125313283207,2.0050125313283207
4,A,15,5619,0.0026695141484249867,0.2669514148424987
z,2,14,451,0.031042128603104215,3.1042128603104215
e,R,14,4092,0.003421309872922776,0.3421309872922776
a,q,14,1644,0.00851581508515815,0.851581508515815
5,J,14,5190,0.002697495183044316,0.2697495183044316
Z,z,14,464,0.03017241379310345,3.0172413793103448
h,H,13,1479,0.00878972278566599,0.878972278566599
T,7,13,1576,0.008248730964467006,0.8248730964467006
2,L,13,5869,0.002215028113818368,0.22150281138183678
r,n,13,2320,0.005603448275862069,0.5603448275862069
1,7,12,6330,0.0018957345971563982,0.18957345971563982
r,V,12,2320,0.005172413793103448,0.5172413793103449
i,l,12,427,0.02810304449648712,2.810304449648712
v,U,12,468,0.02564102564102564,2.564102564102564
t,F,12,2965,0.004047217537942664,0.4047217537942664
9,a,12,5686,0.002110446711220542,0.2110446711220542
C,L,12,1739,0.006900517538815411,0.690051753881541
3,z,12,5969,0.002010386999497403,0.2010386999497403
4,u,12,5619,0.002135611318739989,0.21356113187399892
1,t,11,6330,0.0017377567140600316,0.17377567140600317
1,j,11,6330,0.0017377567140600316,0.17377567140600317
3,B,11,5969,0.0018428547495392862,0.1842854749539286
8,P,11,5633,0.0019527782709036039,0.1952778270903604
D,0,11,779,0.014120667522464698,1.4120667522464698
